"Handle","Battery","Motor","TopSpeed","Range","ChargeTime","Suspension","Weight","Source","Notes"
"79bike-falcon-pro","","","","","","","400;","https://79bike.com/products/79bike-falcon-pro","MISSING: Battery, Motor, TopSpeed, Range, ChargeTime, Suspension"
"79bike-falcon-gt","","","","","","","400;","https://79bike.com/products/gt","MISSING: Battery, Motor, TopSpeed, Range, ChargeTime, Suspension"
"arctic-leopard-xe-pro-s","","","","","","","300;","https://arctic-leopard-usa.com/products/xe-pro-s","MISSING: Battery, Motor, TopSpeed, Range, ChargeTime, Suspension"
"e-ride-pro-sr","","","600,","","","","bold; } .locksmith-message a:hover { color: inherit; opacity: 0.8; } a.locksmith-ab-toggle { font-weig","https://www.eridepro.com/products/pro-sr","MISSING: Battery, Motor, Range, ChargeTime, Suspension"
"rawrr-mantis-x-pro","","","","","","","bold;","https://www.riderawrr.com/mantis-x-pro","MISSING: Battery, Motor, TopSpeed, Range, ChargeTime, Suspension"
"surron-light-bee-x","","","","","","","","https://us.sur-ron.com/lightbee/x","MISSING: Battery, Motor, TopSpeed, Range, ChargeTime, Suspension, Weight"
"surron-ultra-bee-hp","","","","","","","","https://us.sur-ron.com/ultrabee/hp","MISSING: Battery, Motor, TopSpeed, Range, ChargeTime, Suspension, Weight"
"ventus-v1","72V 50Ah lithium-ion\n\n\nRange: 71 miles @ 25 MPH (variable by terrain and rider input)\n\n\nCharge Time: Approx. 4.2 h","28,000W PMSM motor\n\n\nBattery: 72V 50Ah lithium-ion\n\n\nRange: 71 miles @ 25 MPH (variable by terrain and rider input","81 MPH\n\n\nPeak Power: 28,000W PMSM motor\n\n\nBattery: 72V 50Ah lithium-ion\n\n\nRange: 71 miles @ 25 MPH (variable by","71 miles @ 25 MPH (variable by terrain and rider input)\n\n\nCharge Time: Approx. 4.2 hours\n\n\n\nChassis \u0026amp; Ge","Approx. 4.2 hours\n\n\n\nChassis \u0026amp; Geometry\n\n\nFrame: Forged aluminum alloy, anodized finish\n\n\nVehicle Dim","for-ventus"" class=""reversed-link text-sm-base"">TECH Suspension","400;","https://ventusbikes.us/products/ventus-one-plus","OK"
