"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Status"
"79bike-falcon-pro","79Bike Falcon Pro","<h2>Overview</h2>
<p><strong>79Bike Falcon Pro</strong> is available through Kinetic Moto Sports. Specs, warranty, and shipping details are listed below.</p>

<h2>Key Specs</h2>
<ul>
  <li><strong>Battery:</strong> See manufacturer spec page</li>
  <li><strong>Motor:</strong> See manufacturer spec page</li>
  <li><strong>Top speed:</strong> See manufacturer spec page</li>
  <li><strong>Range:</strong> See manufacturer spec page</li>
  <li><strong>Charge time:</strong> See manufacturer spec page</li>
  <li><strong>Suspension:</strong> See manufacturer spec page</li>
  <li><strong>Weight:</strong> See manufacturer spec page</li>
</ul>

<h2>Warranty</h2>
<p>Manufacturer warranty + Kinetic support coordination.</p>

<h2>Shipping</h2>
<p>Direct ship from distribution network; assembly required.</p>

<p><small>Specs source: <a href=""https://79bike.com/products/79bike-falcon-pro"">https://79bike.com/products/79bike-falcon-pro</a></small></p>","Kinetic Moto Sports","Electric Bike","phase1","TRUE","Title","Default Title","79bike-falcon-pro","deny","manual","","TRUE","TRUE","","","active"
"79bike-falcon-gt","79Bike Falcon GT","<h2>Overview</h2>
<p><strong>79Bike Falcon GT</strong> is available through Kinetic Moto Sports. Specs, warranty, and shipping details are listed below.</p>

<h2>Key Specs</h2>
<ul>
  <li><strong>Battery:</strong> See manufacturer spec page</li>
  <li><strong>Motor:</strong> See manufacturer spec page</li>
  <li><strong>Top speed:</strong> See manufacturer spec page</li>
  <li><strong>Range:</strong> See manufacturer spec page</li>
  <li><strong>Charge time:</strong> See manufacturer spec page</li>
  <li><strong>Suspension:</strong> See manufacturer spec page</li>
  <li><strong>Weight:</strong> See manufacturer spec page</li>
</ul>

<h2>Warranty</h2>
<p>Manufacturer warranty + Kinetic support coordination.</p>

<h2>Shipping</h2>
<p>Direct ship from distribution network; assembly required.</p>

<p><small>Specs source: <a href=""https://79bike.com/products/gt"">https://79bike.com/products/gt</a></small></p>","Kinetic Moto Sports","Electric Bike","phase1","TRUE","Title","Default Title","79bike-falcon-gt","deny","manual","","TRUE","TRUE","","","active"
"arctic-leopard-xe-pro-s","Arctic Leopard XE Pro S","<h2>Overview</h2>
<p><strong>Arctic Leopard XE Pro S</strong> is available through Kinetic Moto Sports. Specs, warranty, and shipping details are listed below.</p>

<h2>Key Specs</h2>
<ul>
  <li><strong>Battery:</strong> See manufacturer spec page</li>
  <li><strong>Motor:</strong> See manufacturer spec page</li>
  <li><strong>Top speed:</strong> See manufacturer spec page</li>
  <li><strong>Range:</strong> See manufacturer spec page</li>
  <li><strong>Charge time:</strong> See manufacturer spec page</li>
  <li><strong>Suspension:</strong> See manufacturer spec page</li>
  <li><strong>Weight:</strong> See manufacturer spec page</li>
</ul>

<h2>Warranty</h2>
<p>Manufacturer warranty + Kinetic support coordination.</p>

<h2>Shipping</h2>
<p>Direct ship from distribution network; assembly required.</p>

<p><small>Specs source: <a href=""https://arctic-leopard-usa.com/products/xe-pro-s"">https://arctic-leopard-usa.com/products/xe-pro-s</a></small></p>","Kinetic Moto Sports","Electric Bike","phase1","TRUE","Title","Default Title","arctic-leopard-xe-pro-s","deny","manual","","TRUE","TRUE","","","active"
"e-ride-pro-sr","E Ride Pro SR","<h2>Overview</h2>
<p><strong>E Ride Pro SR</strong> is available through Kinetic Moto Sports. Specs, warranty, and shipping details are listed below.</p>

<h2>Key Specs</h2>
<ul>
  <li><strong>Battery:</strong> See manufacturer spec page</li>
  <li><strong>Motor:</strong> See manufacturer spec page</li>
  <li><strong>Top speed:</strong> See manufacturer spec page</li>
  <li><strong>Range:</strong> See manufacturer spec page</li>
  <li><strong>Charge time:</strong> See manufacturer spec page</li>
  <li><strong>Suspension:</strong> See manufacturer spec page</li>
  <li><strong>Weight:</strong> See manufacturer spec page</li>
</ul>

<h2>Warranty</h2>
<p>Manufacturer warranty + Kinetic support coordination.</p>

<h2>Shipping</h2>
<p>Direct ship from distribution network; assembly required.</p>

<p><small>Specs source: <a href=""https://www.eridepro.com/products/pro-sr"">https://www.eridepro.com/products/pro-sr</a></small></p>","Kinetic Moto Sports","Electric Bike","phase1","TRUE","Title","Default Title","e-ride-pro-sr","deny","manual","","TRUE","TRUE","","","active"
"rawrr-mantis-x-pro","RAWRR Mantis X PRO","<h2>Overview</h2>
<p><strong>RAWRR Mantis X PRO</strong> is available through Kinetic Moto Sports. Specs, warranty, and shipping details are listed below.</p>

<h2>Key Specs</h2>
<ul>
  <li><strong>Battery:</strong> See manufacturer spec page</li>
  <li><strong>Motor:</strong> See manufacturer spec page</li>
  <li><strong>Top speed:</strong> See manufacturer spec page</li>
  <li><strong>Range:</strong> See manufacturer spec page</li>
  <li><strong>Charge time:</strong> See manufacturer spec page</li>
  <li><strong>Suspension:</strong> See manufacturer spec page</li>
  <li><strong>Weight:</strong> See manufacturer spec page</li>
</ul>

<h2>Warranty</h2>
<p>Manufacturer warranty + Kinetic support coordination.</p>

<h2>Shipping</h2>
<p>Direct ship from distribution network; assembly required.</p>

<p><small>Specs source: <a href=""https://www.riderawrr.com/mantis-x-pro"">https://www.riderawrr.com/mantis-x-pro</a></small></p>","Kinetic Moto Sports","Electric Bike","phase1","TRUE","Title","Default Title","rawrr-mantis-x-pro","deny","manual","","TRUE","TRUE","","","active"
"surron-light-bee-x","Surron Light Bee X","<h2>Overview</h2>
<p><strong>Surron Light Bee X</strong> is available through Kinetic Moto Sports. Specs, warranty, and shipping details are listed below.</p>

<h2>Key Specs</h2>
<ul>
  <li><strong>Battery:</strong> See manufacturer spec page</li>
  <li><strong>Motor:</strong> See manufacturer spec page</li>
  <li><strong>Top speed:</strong> See manufacturer spec page</li>
  <li><strong>Range:</strong> See manufacturer spec page</li>
  <li><strong>Charge time:</strong> See manufacturer spec page</li>
  <li><strong>Suspension:</strong> See manufacturer spec page</li>
  <li><strong>Weight:</strong> See manufacturer spec page</li>
</ul>

<h2>Warranty</h2>
<p>Manufacturer warranty + Kinetic support coordination.</p>

<h2>Shipping</h2>
<p>Direct ship from distribution network; assembly required.</p>

<p><small>Specs source: <a href=""https://us.sur-ron.com/lightbee/x"">https://us.sur-ron.com/lightbee/x</a></small></p>","Kinetic Moto Sports","Electric Bike","phase1","TRUE","Title","Default Title","surron-light-bee-x","deny","manual","","TRUE","TRUE","","","active"
"surron-ultra-bee-hp","Surron Ultra Bee 21KW (HP)","<h2>Overview</h2>
<p><strong>Surron Ultra Bee 21KW (HP)</strong> is available through Kinetic Moto Sports. Specs, warranty, and shipping details are listed below.</p>

<h2>Key Specs</h2>
<ul>
  <li><strong>Battery:</strong> See manufacturer spec page</li>
  <li><strong>Motor:</strong> See manufacturer spec page</li>
  <li><strong>Top speed:</strong> See manufacturer spec page</li>
  <li><strong>Range:</strong> See manufacturer spec page</li>
  <li><strong>Charge time:</strong> See manufacturer spec page</li>
  <li><strong>Suspension:</strong> See manufacturer spec page</li>
  <li><strong>Weight:</strong> See manufacturer spec page</li>
</ul>

<h2>Warranty</h2>
<p>Manufacturer warranty + Kinetic support coordination.</p>

<h2>Shipping</h2>
<p>Direct ship from distribution network; assembly required.</p>

<p><small>Specs source: <a href=""https://us.sur-ron.com/ultrabee/hp"">https://us.sur-ron.com/ultrabee/hp</a></small></p>","Kinetic Moto Sports","Electric Bike","phase1","TRUE","Title","Default Title","surron-ultra-bee-hp","deny","manual","","TRUE","TRUE","","","active"
"ventus-v1","Ventus V1+","<h2>Overview</h2>
<p><strong>Ventus V1+</strong> is available through Kinetic Moto Sports. Specs, warranty, and shipping details are listed below.</p>

<h2>Key Specs</h2>
<ul>
  <li><strong>Battery:</strong> See manufacturer spec page</li>
  <li><strong>Motor:</strong> See manufacturer spec page</li>
  <li><strong>Top speed:</strong> See manufacturer spec page</li>
  <li><strong>Range:</strong> See manufacturer spec page</li>
  <li><strong>Charge time:</strong> See manufacturer spec page</li>
  <li><strong>Suspension:</strong> See manufacturer spec page</li>
  <li><strong>Weight:</strong> See manufacturer spec page</li>
</ul>

<h2>Warranty</h2>
<p>Manufacturer warranty + Kinetic support coordination.</p>

<h2>Shipping</h2>
<p>Direct ship from distribution network; assembly required.</p>

<p><small>Specs source: <a href=""https://ventusbikes.us/products/ventus-one-plus"">https://ventusbikes.us/products/ventus-one-plus</a></small></p>","Kinetic Moto Sports","Electric Bike","phase1","TRUE","Title","Default Title","ventus-v1","deny","manual","","TRUE","TRUE","","","active"
